Positive	The Rock is destined to be the st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .
Positive	The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .
Positive	Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .
Positive	Yet the act is still charming here .
Positive	Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .
Positive	Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .
Positive	Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .
Positive	a screenplay more ingeniously constructed than `` Memento ''
Positive	`` Extreme Ops '' exceeds expectations .
Positive	Good fun , good action , good acting , good dialogue , good pace , good cinematography .
Positive	Dramas like this make it human .
Positive	Still , this flick is fun , and host to some truly excellent sequences .
Positive	Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .
Positive	You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .
Positive	Absorbing character study by André Turpin .
Positive	If you love reading and\/or poetry , then by all means check it out .
Positive	You 'll probably love it .
Positive	`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''
Positive	Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .
Positive	The actors are fantastic .
Positive	They are what makes it worth the trip to the theatre .
Positive	-LRB- Taymor -RRB- utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .
Negative	This is n't a new idea .
Positive	It 's been done before but never so vividly or with so much passion .
Positive	-LRB- `` Take Care of My Cat '' -RRB- is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .
Positive	What `` Empire '' lacks in depth it makes up for with its heart .
Positive	Light , silly , photographed with colour and depth , and rather a good time .
Positive	But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...
Positive	Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .
Positive	Their computer-animated faces are very expressive .
Positive	... spiced with humor -LRB- ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand -RRB- and witty updatings -LRB- Silver 's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around -RRB-
Positive	There 's an energy to Y Tu Mamá También .
Positive	Much of it comes from the brave , uninhibited performances by its lead actors .
Positive	`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era
Negative	... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 's ... The film 's ending has a `` What was it all for ? ''
Positive	feeling to it , but like the 's , the trip there is a great deal of fun .
Positive	`` Cremaster '' should come with the warning `` For serious film buffs only ! ''
Negative	Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .
Positive	But believe it or not , it 's one of the most beautiful , evocative works I 've seen .
